,0
0,-369.55394775087973
1,-44.86619817142663
2,-233.7651570648379
3,-114.9264307577416
4,-55.917754114679155
5,-220.44787022914795
6,-340.84376986756087
7,-299.7290089737131
8,-42.85492686378495
9,-371.73194594683105
10,-66.16549877146653
11,-106.95906531462819
12,-296.3503642692906
13,-347.92087440150885
14,-270.00277639904937
15,-195.41936153433963
16,-173.90975085650985
17,-93.35464325722927
18,-126.87290686369397
19,-92.18305886084637
20,-449.5359990352183
21,-335.94376592937306
22,-93.18494272036205
23,-159.21705071027998
24,14.223013687811772
25,-103.73074061024823
26,-423.3223521870924
27,-108.3129274274843
28,-20.7238312264722
29,-354.0655794275802
30,-122.41421951081699
31,-164.39485248858048
32,-367.2360238296763
33,-99.98791192407883
34,-332.17266170731557
35,-57.47917406696568
36,-45.295122529873254
37,-401.57792021746025
38,-194.355076458866
39,-278.95581564302125
40,-138.14486319192872
41,-173.4523765573036
42,-283.3927882825177
43,-90.09193417830198
44,-333.6489652144552
45,-143.49018041149114
46,-188.50654739731857
47,-261.25697105586926
48,-85.96377874264407
49,-292.7645235346282
50,-245.33270463512835
51,-149.64196397019657
52,-341.125183257372
53,-112.93520745040534
54,-25.65729694691875
55,-340.31554145261003
56,-318.81533020747077
57,-165.0417847042113
58,-142.7683036906153
59,-437.0060798645248
60,-241.2365873704307
61,-396.6689789759526
62,-184.97837027295827
63,-104.56120727466822
64,-71.2673912861135
65,-139.0933002507382
66,-324.2884154934933
67,-115.02519142625601
68,-67.5926737094627
69,-374.999127406582
70,-59.37045064035009
71,-72.02969371487433
72,-182.70061921249987
73,-3.0772899351157577
74,-119.98265029478122
75,-305.69451934251936
76,-461.1815338924518
77,-267.83333527903847
78,-25.321453964130626
79,-74.55154343155058
80,-490.532670528111
81,-131.51853745734093
82,-283.74518257093655
83,-309.4443773175931
84,-452.1147821395618
85,-75.83532703420705
86,-317.72301791713664
87,-139.6897643565868
88,-44.26709587563541
89,-319.4531082196602
90,-161.85782279781958
91,-304.4124664075781
92,-30.40262752516503
93,-82.77135256327568
94,-122.87231728229096
95,-116.83664732610393
96,-51.05634175717387
97,-124.18075029948743
98,-284.89596441367087
99,-332.50352640820904
100,-461.820880683543
101,-321.7691966984934
102,-416.3813357961133
103,-352.7759600818514
104,-327.5724078309179
105,-102.8945821721228
106,-78.13224676562405
107,-58.789499942413784
108,-258.38533641380064
109,-83.52749411842674
110,-23.7520524998682
111,-349.856934651426
112,-131.5121352552696
113,-205.39273509846458
114,-170.6994579531618
115,-355.9019739510361
116,-399.4376887896631
117,-356.7079577642673
118,-253.61336056802207
119,-412.6015054133868
120,-500.5296169654869
121,-472.5958338042961
122,-300.1190463851818
123,-132.17792813883818
124,-335.6669329086388
125,-245.19187451190137
126,-49.81998045693227
127,-73.45966793926712
128,-98.44316052865679
129,-222.50618459496025
130,-231.21019990658993
131,-244.61699722008984
132,-134.74325112062277
133,-429.7703405474428
134,-53.3796739263187
135,-337.4339221287927
136,-77.37989405134839
137,-404.07831716341275
138,-68.09546505196568
139,-349.67879820797816
140,-158.67322887657173
141,-326.58004219241127
142,-193.77969644464312
143,-102.70537781078518
144,-42.47075108882998
145,-94.21145362001069
146,-366.2212866195757
147,-158.19549033147015
148,-204.89590470670606
149,-132.37786985096938
150,-88.60828178319292
151,-422.30478080205796
152,-446.96517986893394
153,-294.53654858542984
154,-320.4078777014016
155,-157.7106543047897
156,-175.21924614757484
157,-333.52652606291036
158,-35.54298292367815
159,-6.740285543987284
160,-342.56525557625093
161,-302.03023738562945
162,-232.68646055261615
163,-149.35845888490257
164,-153.13672318525585
165,-457.4117198358263
166,-262.89822218844415
167,-49.29459334386291
168,-38.45474318448182
169,-348.4907187675037
170,-257.40867898110855
171,-228.852852826544
172,-350.97632536073263
173,-158.67524642916575
174,-213.50830850724378
175,-246.47012184734263
176,-87.01729794708348
177,-364.5860778827382
178,-193.47672361983894
179,-98.64888111906166
180,-59.49157543231393
181,-447.8350324728036
182,-96.89352257145407
183,-314.4619323985281
184,-72.85697469586844
185,-284.51875046381235
186,-212.31319495921522
187,-85.82203964156191
188,-300.47176860131054
189,-36.429918950795354
190,-292.40393856188734
191,-304.9305359250201
192,-310.8992094271538
193,-323.9402122010107
194,-111.29027836601364
195,-151.16758416433927
196,-303.95502362747743
197,-463.85321512300277
198,-172.59719396703068
199,-343.8191148695088
200,-30.526869780856302
201,-100.93793299850245
202,-225.4975520220419
203,-229.27067203120737
204,-402.2618866316594
205,-343.2654971894212
206,-161.60237585719005
207,-183.72143868341317
208,-294.91741650534215
209,-176.00200574631668
210,-178.57922129670925
211,-112.62745399105951
212,-140.40552866358433
213,-125.62501948955382
214,-251.80167596320368
215,-62.616023755527735
216,-43.9521245825674
217,-433.6918381385602
218,-77.24534331596881
219,-349.4734868083399
220,-302.703038310904
221,-232.00663982731373
222,-317.86434629576746
223,-161.8295564165321
224,-114.61952702095783
225,-97.17704651135008
226,-363.67527696835043
227,-330.7967066203571
228,-396.0740220853017
229,-260.54617803373924
230,-120.98738481489283
231,-363.37969379267804
232,-64.52719671269105
233,-178.45585696758008
234,-289.8463605231084
235,-256.202640232111
236,-269.3703593945752
237,-528.8489659930417
238,-211.48343514482562
239,-522.2852989216204
240,-424.0100300078413
241,-823.3987077030024
242,-126.42070969661052
243,-124.17646952102064
244,-6.553014488866321
245,-205.8566124127085
246,-325.052938129939
247,-287.3313649940977
248,-277.1657652623925
249,-306.7038207334921
250,-272.8479120576974
251,-48.536739840196915
252,-275.8844676798677
253,-286.9811312085833
254,-358.8548137360631
255,29.03756118237949
256,-281.2537372623083
257,-21.871338096300843
258,-186.07115357852192
259,-58.86707858807193
260,-22.673781809993077
261,-176.60043518284567
262,-154.91832167604304
263,-216.84835270042288
264,-161.95520749956833
265,1.7303522440164913
266,-64.14347364064085
267,-19.917935190064668
268,-120.61377906004313
269,-240.8950712485096
270,-62.46743560217021
271,-64.85782189526633
272,-25.003534456955244
273,-34.46884608220051
274,-37.48318162519593
275,25.7595653935683
276,-18.527414587159434
277,-193.89093650446515
278,4.863806716761463
279,-203.40217155696442
280,-6.178502188048768
281,6.729466375380575
282,-63.61662437341985
283,-143.18775972129453
284,19.871653140809773
285,-47.33139050218597
286,10.44337484490968
287,3.2271758425186476
288,-29.06631221042198
289,-10.344447802432088
290,-4.897995318538069
291,-13.884504066409004
292,-25.327650424790917
293,-11.32395783753581
294,-27.524771484266072
295,-28.36088974957791
296,55.28317800367327
297,-63.38970852048219
298,-79.45004435793662
299,22.24680448700846
300,-114.9733842187199
301,-26.540134208584988
302,-77.37321111407414
303,-278.77567773978075
304,-31.11174539243561
305,-26.855121824216738
306,-23.661205475452007
307,-196.84681219387554
308,-51.878854531039664
309,-60.0669001399062
310,-82.302466605391
311,-49.9835777775384
312,-11.991284908497803
313,-197.79815829927753
314,-118.87395553128313
315,-72.07239899410453
316,-16.114710870795705
317,-55.61800957737569
318,-237.6005836153626
319,-59.194234069107694
320,-194.2952492204157
321,8.046204039028268
322,-35.44066546250434
323,-123.73079273855797
324,-151.70674493847937
325,-213.28294251172846
326,-11.894367164781102
327,-11.12913888971363
328,-146.16969645021697
329,-182.12046838961703
330,-117.68185906477905
331,-110.75906881180265
332,45.59390387759627
333,15.426280715049586
334,-183.87111647628478
335,-29.836706650813454
336,-140.55670473001084
337,21.09769571785567
338,-37.82447699787109
339,-157.0355855374458
340,-85.41216494320912
341,-41.01273866078878
342,-3.334574192779243
343,-81.55911556163603
344,-64.36986171795203
345,-47.59896601276786
346,-5.730929574369736
347,-10.599077872929968
348,-12.143224886795338
349,-276.11685595827146
350,-200.92658751964757
351,-9.723440551729254
352,-4.759405844712489
353,-63.04088295235568
354,-40.855601364789095
355,-42.48265252247487
356,-133.73645343422413
357,-9.056828744174794
358,-19.309896968435552
359,-35.82638384181641
360,-30.614521484834924
361,6.691873971345174
362,8.212351316736061
363,25.396534219974043
364,-179.76325870794238
365,-107.31930232336401
366,-40.89092945604794
367,4.524590971648223
368,38.33213918131071
369,-160.9947009766281
370,-12.379394538062712
371,43.38579104841253
372,-39.43523756961266
373,-36.75708028182695
374,-195.97087522163372
375,-39.22549866456717
376,-122.20918515289361
377,-64.28519069710876
378,-133.49001098105566
379,-179.51289383621207
