,0
0,-119.87742316118758
1,-192.02702013404945
2,-187.92780758189167
3,-180.37504227177857
4,-320.20622724209886
5,-308.57165976767055
6,-85.8558599353045
7,-249.0154899952827
8,-353.3023836334256
9,-270.0575061753857
10,-432.0409322102013
11,-116.72897981219148
12,-164.30437999500572
13,-112.61819243776316
14,-118.05821740699284
15,-97.20318181772186
16,-378.3243196504761
17,-128.23175521747217
18,-72.79045313693325
19,-56.980409813885146
20,-176.85348423715544
21,-389.2938025069205
22,-189.08200518786074
23,-34.67760854524117
24,40.341981723582904
25,-89.65471937988463
26,-431.068695215795
27,-89.51964724358294
28,-96.74934080359375
29,-165.1155705405301
30,-136.930106752369
31,-119.04039456144363
32,-131.91929268804034
33,-299.727360224269
34,-114.19223624233739
35,-196.27972373770996
36,-412.33070255541094
37,-107.09228563891415
38,-118.57457771064671
39,-122.91932709338685
40,-145.68646954657768
41,-123.12520980812798
42,-113.26339745767403
43,-482.5473289666889
44,-207.0066378658588
45,-94.01718538968898
46,-141.59203306906983
47,5.921187456267759
48,-185.30301304892032
49,-399.66861744701663
50,-290.08177538251425
51,-188.6308184961071
52,-337.1178833538124
53,-150.12348055406193
54,-111.2468937715438
55,-145.25293510174458
56,-110.84359732303571
57,-282.1475055030376
58,-97.68406724691015
59,-223.26321318120353
60,-160.43513461150445
61,-172.28056499494812
62,-129.17597624564536
63,-248.96224900379582
64,-148.19242849580206
65,-160.57714331703744
66,-447.056610731231
67,-238.3648500633765
68,-313.3902163399289
69,-387.34432346356215
70,-101.12949402378277
71,-80.90626640124148
72,-83.63590639443812
73,-144.75456326645428
74,-76.74947093815723
75,-74.65179617719276
76,-103.44052579274538
77,-113.97025859915216
78,-3.668146500994709
79,-84.0799933478188
80,-121.46285538141268
81,-118.98289505827049
82,-75.98068833063493
83,-224.80253035682478
84,-91.86354077441011
85,-75.29892744402977
86,-113.38844901986162
87,-339.6208771799535
88,-95.72116311994512
89,-310.8623434193794
90,-210.89713899999174
91,-257.4488101129507
92,-185.33452496223077
93,-167.03829727388842
94,-148.4516544185949
95,-126.34554904447769
96,-104.0797320893942
97,-112.42218231424508
98,-116.56168421755343
99,-68.66423480327816
100,-145.01966129135474
101,-106.76362743488615
102,-94.22663231510947
103,-105.93192119438469
104,-310.0175210297243
105,-151.5639490842937
106,-125.55196285912965
107,-136.01902589722414
108,-106.47228096959451
109,-283.97838055305726
110,-156.2880897593721
111,-50.17399771935621
112,-94.30692817083138
113,-236.9154729162906
114,-278.8231282527106
115,-296.0741370457023
116,-284.349862541477
117,-154.6889657847037
118,-173.4908603031389
119,-65.59873932092806
120,-483.3481596020374
121,-354.5058784330827
122,-112.98472163532901
123,-311.7311199223525
124,1.1004160283822273
125,-199.23912515386297
126,-107.25763684772001
127,-382.5230628049964
128,-479.63304331671685
129,-358.0016787578424
130,-91.8328817099801
131,-44.449947941605934
132,-75.3731915546549
133,-110.03084610882861
134,-128.2976336765597
135,-146.17727119809365
136,-178.4315176648687
137,-129.8652865873658
138,-356.895165983682
139,-111.2172243112373
140,-363.4995231878947
141,-78.27351683862486
142,-166.19516387882635
143,-314.7606707445104
144,-298.0022651201278
145,-89.83942406196716
146,-103.76927499168912
147,-93.38810282045746
148,-311.1897211070767
149,-111.37653757438855
150,-125.89766624145403
151,-265.53313553941905
152,-354.0267398546893
153,-178.09110092423958
154,-126.33559772123725
155,-413.35542986932495
156,-113.41496196681739
157,-214.70843502392125
158,-134.5761314095563
159,-130.56084001359773
160,-197.3633063755065
161,-113.12724753839372
162,-83.90146366755613
163,-128.28789384253815
164,-150.26228426697455
165,-237.35673345725172
166,-106.06989970235436
167,-110.67075289582327
168,-109.96324242024838
169,-94.5063467161101
170,-312.5697256532706
171,-252.65379594193567
172,-97.53932731400903
173,-61.36708358249288
174,-89.00774281676628
175,-130.80754115809623
176,-105.87301134900781
177,-197.4426175698132
178,-82.5802264687189
179,-126.25083299863968
180,-116.30816678770836
181,-111.58935365152203
182,-105.27995890975409
183,-102.07174722096406
184,-112.1655758207429
185,-130.0919974261644
186,-123.88705574784038
187,-147.16506848567047
188,-121.15994333483927
189,-105.66564757489455
190,-237.84692418807288
191,-373.4160852952093
192,-103.33288545143023
193,-304.4521832696198
194,-98.65334836327503
195,-337.0350312810603
196,-262.9476570744587
197,58.975730571816484
198,-303.5053904507532
199,-46.03590143356318
200,-106.36851115655396
201,-285.80217780828673
